25781	congigure	hidlib: remove unused parts of the gtk HID
25758	configure	compound DAD widgets, for DAD based spinboxes: remove old, gtk-only coord entry
25701	configure	hidlib: generate hidlib.h for external project use
25666	configure	hidlib: make gtk2-gl part of the hidlib
25664	configure	remove the gtk-only, old library window
25652	configure	lib_hid_common: internal conf image for the file selection dialog upgrade
25634	configure	infra for an stl export plugin
25603	configure	infrastructure for extended objects
25463	configure	new library window (DAD based)
25436	configure	remove plugin lib_legacy_func
25418	configure	remove obsolete menufiles from the install
25402	configure	hidlib: rewrite the gtk-only layer selector using generic DAD
25350	configure	hidlib: polygon vs. HID API cleanup
25331	configure	new, DAD-based search dialog
25261	configure	hidlib: various lesstif fixes
25255	configure	split the tool API and default menus to hidlib doesn't depend on core
25228	configure	rewrite PCB-file-changed-on-disk detection to common code, instead of gtk-specific
25226	configure	hidlib: core-independent mouse cursor vs. tool handling
25187	configure	hidlib: further split core code to hidlib and non-hidlib to reduce hidlib size
25154	configure	hidlib: split lib_hid_common into a PCB-related and a PCB-unrelated plugin
25143	configure	hidlib: indirect conf lookups to cut conf_core dependency
25036	configure	hidlib: centralize GUI actions to remove code dup among gtk/lesstif and free up HIDs from PCB
25016	configure	move the status bar and readouts out from gtk/lesstif to plugin lib_hid_pcbui
24987	configure	move the toolbar out from gtk to plugin lib_hid_pcbui
24951	configure	remove the lesstif implementation of route style
24944	configure	reimplement the gtk-only route style selector and dialog using DAD
24910	configure	hidlib: split lib_hid_common into a PCB-related and a PCB-unrelated plugin
24872	configure	split excellon exporter from gerber to a separate plugin
24862	configure	code simplification: merge hid_flags.[ch] into lib_hid_common
24824	configure	move window placement from dialogs to lib_hid_commonfor hidlib cleanup
24816	configure	safety wrapper around unlink, opendir, closedir and readdir
24736	configure	make distclean fixes to really remove all generated files
24625	configure	io_kicad common layer table code among read and write side
24585	configure	io_kicad depends on the shape plugin for round-rect pads
24494	configure	core shall not use glib for CFLAGS/LDFLAGS as core doesn't depend on glib
24429	configure	move paper sizes out from ps to common code (io_kicad needs it too)
24389	configure	live scripting: new source files for the new feature
24292	configure	preparing for hidlib, splitting source files, scconfig hidlib deps
23902	configure	cleanup: remove dead code from gtk
23857	configure	new, centralized log dialog
23788	configure	lesstif tabbed widget reimplementation for portability
23737	configure	new fileselect dialog API and new, centralized load/save actions
23602	configure	io_tedax namespace cleanup
23589	configure	removing the old netlist dialog leftover from gtk
23585	configure	removing the mincut stub (switched over to the event API)
23579	configure	removing old netlist
23486	configure	gerber/excellon splitup
23462	configure	splitting up the dialog plugin code linking into multiple objects for compilation speed
23292	configure	rewriting user lead, moving the code from gtk to common
23140	configure	netlist rewrite
23099	configure	merge copy.[ch] into move.[ch] for compactness
22617	distclean	enable the socket plugin in scconfig for detecting select() as an alternative to usleep()
22462	configure	lesstif tree table widget code, low level
22305	configure	new source files for lesstif color button
22264	configure	new source files for tEDAx layer, board and drc save
22167	configure	removal of the old gtk-only preferences dialog code
22119	configure	dialogs config for window placement
21977	configure	new propedit
21972	configure	boardflip plugin removed (core functionality took over)
21942	configure	io_tedax for new blocks
21876	configure	moving out the old drc to a plugin
21580	configure	HID API cleanup, including dialogs rewritten with DAD and new DAD features
21289	configure	new drc infra and GUI
21098	configure	old pinout dialog removal
20317	configure	new core color infra
20260	configure	plugin frame for ttf import
20249	configure	central gettimeofday() wrapper to fix a compilation bug on IRIX
20233	configure	new plugin: act_draw
20188	configure	dad() action
20152	configure	remove notebook helper from gtk for the DAD transition
20061	configure	made asm configurable
20030	configure	new plugin: asm
19890	configure	tree-table widget in DAD core
19656	configure	new plugin for c-pcb
